Point2D.Double[873.8447169120351, -1018.7058850359449]
Point2D.Double[-349.4723565345239, -83.55553297776632]
Point2D.Double[508.5952518063698, 308.34810554812776]
Point2D.Double[466.30678881625147, -685.6616877782072]
Point2D.Double[718.2036026117412, -365.4503111718087]
Point2D.Double[376.1117567251371, -513.991337865351]
Point2D.Double[-965.698504667789, -1037.1126074655112]
Point2D.Double[-457.71270562859365, -742.0377048187623]
Point2D.Double[754.4765439838468, 441.4547324479669]
Point2D.Double[270.61339666959054, 201.62826086645262]
